Series Name,Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Canada,CAN,74.35799148,75.52814592,76.47793007,78.96326167,81.53815406,84.07940356,86.24038942,89.08679283,92.64698299,90.49301284,93.07083098,96.09047237,97.26128068,98.95434466,100.8752454,100,100.7169781,103.3064264,105.0121376,106.6356996,107.7775656,116.0385709,124.9199542,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Cayman Islands,CYM,..,..,..,..,..,..,90.65072291,93.43628232,96.28396559,96.87165959,96.67171083,96.22658305,97.44039784,98.78332464,99.65926441,100,101.0000923,103.0067604,105.7496239,109.3412111,109.5128025,112.3768709,123.0742675,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Central African Republic,CAF,101.0920475,101.5226376,99.11464074,100.4392273,95.97994058,100,103.3340459,105.2335651,112.6810189,113.482889,118.2620045,123.0032643,130.6061406,133.8549511,149.7753957,153.8317074,158.4160678,168.6239339,166.5597794,170.4370197,173.8153551,179.3527064,190.0563404,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Chad,TCD,61.28926281,69.74574246,71.0763653,71.13251896,78.0567408,100,109.9844279,113.6160414,123.4424881,111.6429237,118.7782408,128.9698877,130.3850043,124.9852822,125.7924188,115.1252,113.512481,113.5445504,119.238421,122.643911,115.9538127,124.3024737,147.4920975,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.18095063,88.85075952,92.75816621,95.30673229,97.44327587,100.0011719,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Chile,CHL,44.15167819,46.04011037,47.57815409,49.62415787,53.11013671,56.89174593,63.91781733,67.17043978,67.37942885,69.79012671,75.97174635,78.44881643,79.04774701,80.83483524,85.56601055,89.80526347,93.90097265,98.43469179,100,102.5725982,112.4579438,120.1026563,128.0802424,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,China,CHN,58.13055751,59.32051878,59.67768707,61.23120332,65.4879921,68.04447583,70.71627579,76.19656546,82.13635141,81.96424835,87.60451995,94.67918456,96.88636235,98.98237288,100.0029442,100,101.407346,105.6995965,109.3988156,110.8064506,111.3521656,116.4212799,119.0395647,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Colombia,COL,48.43860008,51.59604518,54.67539548,58.40918636,62.66314691,65.64164917,69.45389355,73.06690857,78.67653493,81.8741267,84.98932283,90.41742377,93.6875101,95.47476465,97.6092294,100,105.1483343,110.5463721,115.6653099,120.2949534,122.0755767,131.4358705,150.2805798,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Comoros,COM,75.92400901,82.47623883,85.91603897,90.30792012,93.36787912,93.66281113,96.57643986,100,103.1442898,104.1613349,105.9061961,109.1317692,113.7922224,115.7860408,116.7529062,116.1424521,118.1342798,118.6097634,120.7870447,125.8710995,126.7140184,126.7895113,133.3351934,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,"Congo, Dem. Rep.",COD,28.00102347,48.4584904,63.82926247,72.39224751,77.00034581,100,113.3252254,136.2979088,164.1917073,217.8133188,263.0887034,299.3730032,317.1557363,325.945046,329.1837359,325.3787716,339.5302393,485.7613628,636.3406437,673.8555042,700.1463107,804.9962632,872.9819166,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,"Congo, Rep.",COG,79.78646153,68.67603068,67.48180425,64.61279043,75.47241609,100,111.3803018,118.8874646,138.229508,108.9729104,141.0302166,156.4777153,174.2599841,172.3351742,161.1944578,133.3819861,128.710299,144.6261986,176.7830259,174.4541345,150.0313321,184.9747017,218.7523834,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Costa Rica,CRI,27.12725633,29.76428007,32.67727631,36.15683014,40.9838933,46.31726072,52.33123766,57.83480191,64.44172579,70.69343085,75.37958875,78.84194297,82.57403117,86.36435399,91.72492072,95.35283891,97.22057675,100,102.1924784,104.8155469,105.6253447,108.1330286,114.9241993,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Cote d'Ivoire,CIV,65.49409263,69.997446,73.20482512,75.60456764,73.71191501,74.60761425,75.62193331,77.95755411,82.14616164,83.13830597,84.39886387,89.2174655,88.85693919,91.4131138,95.44199354,100,98.82016756,97.79078036,99.43559828,100.7860149,102.3300549,105.0520344,107.9409653,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Croatia,HRV,67.02068649,69.85369149,72.53905916,75.6585133,78.40486667,80.84789584,83.98496707,87.57501447,92.40146129,95.15437276,96.03859084,97.64036552,99.02733368,99.76097403,99.9081776,100,99.93878814,101.1040117,103.1547395,105.2230755,106.0131273,107.6115401,117.7951268,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Cuba,CUB,106.9681497,107.4547897,112.3259041,115.6659267,116.3668374,116.8091252,128.9170467,133.5448793,133.0847737,133.928764,135.5386528,141.3990285,145.5194779,149.3871386,154.5609765,159.8764039,166.796413,173.6577351,175.4503506,181.6696146,211.7467681,1062.103137,1212.448105,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Curacao,CUW,77.73567053,79.12713792,79.45156016,80.73867532,81.8528691,85.20883735,87.87587477,90.51214817,96.75748898,98.49912178,101.2373973,100,103.184,104.5587204,106.125742,105.620065,105.570147,107.2439616,110.0160036,112.9049138,115.3662409,119.7022811,124.5390732,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Cyprus,CYP,75.8378903,78.61378819,78.84680353,83.09481226,85.34607357,87.06963336,89.75680253,93.47112614,97.89683452,98.15441976,100,101.6171066,103.3194676,102.342164,100.9771462,100.2157299,99.64223348,100.6769611,101.6876234,103.0350633,101.6299581,104.3595414,110.6896066,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Czechia,CZE,76.82905706,80.58544858,82.78087777,83.85100491,87.2461701,87.32900534,87.90022901,91.01223272,92.84119747,95.24376118,93.88623853,93.86692429,95.22885927,96.52845203,99.01747322,100,101.1414506,102.463313,105.0941344,109.1811964,113.8960802,117.6863249,127.7453879,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Denmark,DNK,75.00961149,76.89866422,78.70397376,79.87023271,81.5440996,83.91411693,85.65632468,87.73972683,91.36749515,91.85084953,94.81218786,95.4176997,97.68404528,98.55164653,99.56880653,100,100.2545952,101.4422729,102.2009158,103.2727932,106.2948911,109.3313999,118.1511229,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,100,101.2623044,103.0922163,103.4043614,103.9857333,104.6678966,105.1386901,107.007856,108.8280932,109.5610574,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Dominica,DMA,95.80646534,97.80340297,98.57662554,95.50175149,99.12318413,97.68765458,100,101.5250486,103.0564302,111.3049782,111.6355203,113.5169381,111.2902542,115.2594065,114.916133,122.7532223,127.2925121,123.3804125,126.7424249,132.4246507,130.923324,134.8850182,139.6700901,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Dominican Republic,DOM,37.49295122,39.75780248,42.50930834,56.73357783,82.35804149,87.11936728,92.90517771,100,110.3916875,114.2533505,120.4726326,130.1836366,136.8206347,143.2413797,149.4312536,153.1250238,156.1778444,162.7082258,169.4142285,173.6929859,181.8973811,196.043828,217.0482689,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Ecuador,ECU,48.55643831,62.35339991,69.8889794,77.29237981,80.58646178,86.81797998,93.76420914,100,113.8473189,114.5936308,123.148137,130.1215933,136.608484,140.8365836,145.1049222,141.4903285,144.1809748,146.9873107,149.6608241,150.4023187,149.8020641,153.665955,161.7561799,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,"Egypt, Arab Rep.",EGY,10.95305146,11.15762159,11.51082492,12.29097034,13.72531532,14.57803203,15.65097194,17.62232765,19.77295377,21.98466588,24.2066263,27.0298394,32.29602989,35.10987787,39.0589051,42.93780189,45.61955235,59.08575072,71.59705256,81.34720785,86.37197127,90.55855583,100,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,El Salvador,SLV,67.75283259,69.99791189,71.05532346,73.16259087,75.15091113,78.37846485,81.77436254,85.36863816,88.35850333,88.32855361,90.62325954,96.01837324,98.39535563,99.01653716,100,101.3076178,101.9739648,102.9416519,104.6998012,105.6638318,106.3024762,112.9574394,121.4501238,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Equatorial Guinea,GNQ,54.49702958,47.97290273,47.21354432,47.51364395,55.55426555,88.51408391,100,103.0376539,123.4803645,97.75911939,122.1075279,142.9208861,149.8593836,148.2518814,146.3633857,116.8085926,109.4666795,123.4153432,135.1568744,130.8809302,117.5722429,138.22234,148.882599,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Eritrea,ERI,25.40520455,29.23561573,33.95677806,41.38409039,51.6470492,55.58445979,61.91775534,66.4304503,77.1099557,99.86086808,83.65524699,100,..,..,..,..,..,..,..,..,..,..,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Estonia,EST,49.21258132,52.55926964,55.11242185,57.25553115,59.9410843,63.49184404,69.19250971,77.74358865,83.03211449,82.70938382,84.21664018,88.82643739,92.44360592,96.17023878,98.97419107,100,102.1873099,105.8562073,110.9772971,114.5364039,113.9276321,120.7597652,140.761904,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Eswatini,SWZ,49.89280598,54.3545297,59.20019703,62.7554623,65.18490689,69.45896593,72.26591523,75.88954349,83.8014656,91.98880535,94.92984886,100,108.7483735,115.8529028,124.1326038,131.015837,140.5037145,143.9855791,148.060385,150.6159934,155.4762762,153.5843637,167.0910591,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Ethiopia,ETH,17.44550889,16.44146135,15.84604464,17.86926419,18.56819588,20.40190028,22.75879916,26.67799626,34.76454327,43.15893427,43.78239628,52.56596593,70.19732947,73.63838803,81.7251999,90.58138615,99.99997124,106.6768244,119.8858633,135.303661,160.00279,194.8246197,262.3976102,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,92.09411321,93.31781688,100,98.91253998,96.59699893,98.06447844,100.6839575,105.5766569,113.7880481,114.2132422,113.7630022,117.9119826,117.7754844,119.918801,124.5824937,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Fiji,FJI,52.4242376,54.12561182,55.8935965,60.19895692,61.5197272,65.60782749,68.06599456,70.12462089,71.63799353,72.63425954,75.70653255,82.81639082,85.77833023,88.88461794,100,102.530899,105.2308716,107.0181731,108.5439507,110.2226363,108.5885302,105.8596319,108.4770779,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Finland,FIN,77.19840219,79.74855946,80.50159663,80.65448825,81.14056159,81.89430971,82.6483298,84.92387031,87.50320933,89.05543333,89.34302063,91.68696458,94.41370954,96.82909029,98.40897632,100,100.0874255,100.9074046,102.9274056,104.46777,106.1754827,108.7215254,114.5469521,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,France,FRA,80.16171322,81.77162831,83.462196,85.01406557,86.39356794,88.06644237,89.96456253,92.26462984,94.44860175,94.51153047,95.52251793,96.4280334,97.54835843,98.30738273,98.8745615,100,100.5225593,101.0468622,102.0494739,103.3542705,106.2894038,107.80291,110.9800956,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,French Polynesia,PYF,88.35718294,90.76883827,94.59466707,96.21911107,97.84661905,100,101.1869442,102.8302609,103.1178489,104.7541746,104.453422,104.4950509,104.8574052,107.0493727,108.5065691,110.6333666,111.809232,111.3849663,110.0447859,110.9498286,112.789649,113.0139082,115.0409382,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Gabon,GAB,100.1689439,100,100.8558078,100.6368293,108.4515594,130.2443286,143.0970177,149.1519701,179.6967409,147.2173904,171.6029503,193.3643113,187.6757214,176.1187914,174.619333,159.030764,152.2405417,158.0565903,169.3997705,172.0212068,156.2401435,195.7308293,222.979524,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,"Gambia, The",GMB,28.31582988,28.82705454,31.82257311,35.92575697,69.76426846,72.63423462,73.58080687,76.82927066,78.73144498,82.2848355,86.92926386,90.90377717,94.39917304,100,105.2117231,115.4386839,124.4667079,129.3479419,138.3399057,146.9892021,150.2064414,161.9929853,178.8712019,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Georgia,GEO,41.69328338,43.93479844,46.53541495,48.12898967,52.18714706,56.32905494,61.08829692,66.86982652,73.2863764,71.72097159,81.91087022,89.08140029,89.45492303,90.6642265,94.49238752,100,102.6193183,111.3327725,116.1881161,122.2210579,131.1203132,144.5655072,157.7169509,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Germany,DEU,82.52788246,83.60486713,84.75704739,85.87690287,86.83494205,87.1868036,87.53318034,89.08275678,89.89281339,91.5485416,92.13928216,93.1246968,94.5182975,96.37028116,98.18005707,100,101.3277522,102.8514571,104.9161924,107.1512315,109.1577301,112.4538985,118.3783358,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Ghana,GHA,5.114221381,6.894888121,8.468204008,10.89895177,12.46296782,14.32789123,26.46124696,30.72262983,36.68597557,42.43340911,49.47550693,56.35993574,64.92962107,100,123.9399605,140.3656795,162.4713364,179.8189056,198.8230306,215.6853569,235.8855279,264.4420697,339.0772539,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Greece,GRC,77.79396021,80.49710786,83.19277158,86.06589536,88.70180295,90.68900665,93.85862606,97.07109429,101.2884287,103.891309,103.7069218,104.7014898,104.4134116,102.2775056,100.2945958,100,99.42141925,99.7051742,99.54041734,99.76622,99.01603055,100.4867357,108.3717738,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Greenland,GRL,84.84200194,87.72854475,90.45083489,96.35996809,95.84112355,92.74624395,94.82226024,94.77720512,92.86901378,98.01268988,100,102.8840457,106.4287424,107.5647336,108.6299187,117.4771527,121.6332388,125.6063881,127.9259868,128.8788602,129.7848791,129.2447556,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Grenada,GRD,89.21294654,91.12582997,91.46495171,91.39445775,93.25081446,95.57251908,100,102.3194437,110.3491964,110.3382721,110.8676665,111.1165726,115.4791759,118.8547457,119.776123,123.0800181,126.3345556,128.2626402,127.360108,131.5980576,131.2032824,134.8642709,137.2533709,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Guam,GUM,..,..,74.60980435,77.77293528,79.16922447,83.1786772,86.8442623,89.46083418,92.88135593,95.85070478,96.07843137,96.6828322,100,100.8404931,102.9357798,105.5323021,107.1934605,108.264314,109.9092559,112.612772,117.5084847,120.9600948,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Guatemala,GTM,55.54524556,52.42907659,55.82080534,58.31668454,61.82959928,65.33437032,68.58889285,73.46923301,80.38084509,83.2746964,87.55299471,93.58946149,96.75068031,100,102.8603116,105.1557644,108.0025321,109.8903236,111.2877023,115.2559802,118.5675844,121.7612052,129.3399921,..
