Series Name,Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Afghanistan,AFG,..,..,37.39567933,41.75423484,46.46053505,51.53066804,55.24074797,67.685249,69.10412726,67.60912551,70.18816371,81.83472908,87.8101017,92.04499454,92.56683861,94.8324703,92.74850167,94.97785677,96.94517925,103.2674396,110.4578959,113.5937914,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Albania,ALB,69.55302653,72.20359317,74.8372021,78.72771531,81.20950334,83.89495394,85.97402936,89.74546017,93.44035744,95.70005929,100,102.3147438,103.3815946,103.6801048,105.2870604,105.8808703,105.2110114,106.7373407,108.3095321,109.6710098,110.434915,114.249814,125.521716,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Algeria,DZA,39.50956526,39.3225262,39.84175179,43.16086201,48.44704553,56.25930139,62.19280353,66.17024307,76.30129173,67.78483497,78.71173742,93.05932256,100,99.90669562,99.60639564,93.17615495,94.61934229,100.6661377,107.4683654,106.9610358,101.5851902,117.399447,142.6609728,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,American Samoa,ASM,..,..,70.62068966,71.58469945,69.25170068,68.30601093,70.22792023,72.44755245,80.45977011,101.1994003,85.65022422,85.20179372,100,102.2435897,101.2598425,102.7480916,104.1925466,102.1702838,103.902439,105.7189542,112.8325509,118.29653,135.0387597,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Andorra,AND,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.5565075,109.2838815,113.8880949,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Angola,AGO,16.31765909,33.67183637,100,193.9265669,258.7825821,368.4397585,431.5006739,450.0915879,537.2553056,447.1998176,591.5132966,779.4457079,836.0003392,859.7404425,890.354809,859.0286959,1046.076289,1282.640547,1643.923107,1959.342696,2170.228813,3012.792411,3504.03976,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Antigua and Barbuda,ATG,67.69364849,68.69726662,69.17938564,68.58106597,69.63688322,72.74383205,73.0403909,75.76781417,79.08695007,80.53972697,81.72636496,92.98427152,94.93931148,94.36049286,96.03859251,98.71631209,98.25412103,98.56072743,100,100.7184523,101.52427,106.5129295,113.4350517,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Argentina,ARG,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.562778,2084.433257,3109.882269,4356.419109,6701.934757,11357.85191,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Armenia,ARM,58.33797832,60.68781429,62.11846823,64.97499576,69.05451201,71.27030327,74.56157479,77.75122616,82.40818434,84.46612526,91.0280582,94.92547003,100,103.3668246,105.7537532,107.0375085,107.3249846,109.6331606,112.6894147,113.8902586,115.9477917,123.9487849,133.8469655,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Aruba,ABW,76.05540287,73.89884937,77.17603381,79.52916641,81.76386352,85.90724671,88.900552,93.49394881,97.47908022,99.13942307,97.92654378,101.8491612,102.0365972,100,103.9588969,111.0606271,109.9469124,106.4526163,110.1545557,116.8676036,115.8493064,110.0682313,113.8246864,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Australia,AUS,51.6252825,54.01590387,55.55012132,57.2086367,59.05777018,61.31703057,64.45363505,67.66728036,70.75955479,74.26155891,75.11694723,79.77577436,81.21585797,81.08284141,82.22196866,81.70979054,81.1739607,84.13781098,85.71860096,88.68765563,90.56235785,93.35056833,100,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Austria,AUT,76.15840153,77.64128588,78.53074108,79.55757181,80.94164989,82.99578235,84.56619623,86.44456017,88.13569436,89.80081047,90.5848209,92.24561228,94.14055457,95.6692918,97.75077551,100,101.8482947,102.8724141,104.7632754,106.4477392,109.3425803,111.6040146,117.5159959,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Azerbaijan,AZE,69.81936391,71.57532805,74.59178882,79.78447062,87.16610201,100,111.3012191,134.7071184,172.1253337,139.6883881,158.6103212,194.3362828,199.9388675,200.8287245,198.2480844,180.7037384,207.2155071,240.7272284,270.059545,269.4078699,249.4825559,303.3429063,416.3346781,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,"Bahamas, The",BHS,74.31285769,74.57529408,77.52882945,78.42419366,79.36136089,83.37387796,84.06437584,86.5425649,87.83084677,86.92058516,86.57936488,85.83598984,88.64010319,88.4866489,91.72342897,96.5955827,97.987842,99.66408563,100,103.9746805,101.5363797,102.570582,100.3415412,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bahrain,BHR,59.40429226,57.40603409,59.36607676,64.47309138,71.55938341,81.3880417,88.58472778,96.05741004,106.974423,93.07422935,100,109.7367535,113.0450597,113.479311,111.5832045,101.2560038,101.5063884,107.1092217,111.77925,111.8723194,105.0849397,116.1490707,125.1280195,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bangladesh,BGD,32.38288762,33.43894544,34.74067926,36.76113347,38.43822651,40.20114223,42.56333554,45.31771969,48.88013027,52.18655565,55.9151092,60.30972972,65.23376204,69.91425409,73.8775453,78.21620882,100,105.0475974,111.1461639,115.2120773,119.6374247,124.567892,130.8573521,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Barbados,BRB,72.37137788,74.00363416,74.67548077,75.50876367,79.90952326,85.23767016,88.75291988,96.35722679,98.01120362,96.31187318,100,103.5388293,102.9073269,105.8821536,106.3816325,104.444518,104.2141389,106.92554,110.4143035,115.0987512,117.0261894,122.5368063,127.4301364,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Belarus,BLR,1.664046529,2.98753882,4.328756696,5.657049608,6.939792536,8.256421117,9.143872096,10.32093552,12.51037091,13.66866386,15.21192089,26.01829023,45.60417461,55.29838886,65.31014192,75.77494227,82.09533362,89.17485348,100,108.5769085,121.4735424,140.0910819,159.0422924,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Belgium,BEL,77.78075095,79.3229898,80.62389301,82.11550653,83.68801105,85.43129443,87.36606306,89.05373174,90.75362983,91.23750949,92.9637942,94.64392836,96.50000875,97.72677298,98.68708077,100,101.9208507,103.7862803,105.3947928,107.2582754,108.973862,112.4304932,119.0545802,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Belize,BLZ,83.47313541,81.84114506,82.43032706,79.00366203,80.65708498,83.08664015,85.78475061,89.0755294,92.20881574,89.92821403,91.86946408,96.37037257,97.08968723,98.94754981,100.0011634,100.0484784,102.1514385,105.2486017,105.3494876,105.211836,104.6335313,105.113586,112.8550274,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Benin,BEN,67.98902897,69.328607,71.79269354,73.9907734,74.56028852,77.76165689,79.39023255,79.69997611,84.82799388,86.98236371,87.74857888,91.0243062,98.03218386,99.40198599,99.15568512,100,100.6835911,100.3131785,100.9857258,100.5842532,103.4791005,105.1541426,109.5062412,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bermuda,BMU,54.76154218,54.01174948,58.64619647,60.30279876,63.13229207,67.40153424,80.59818969,85.8974359,90.28586211,91.22807018,93.26813235,92.1943774,98.36974459,100,103.0118909,106.0528226,110.6907287,110.5857565,112.3674224,115.0859858,114.6083124,115.1331093,118.4317911,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bhutan,BTN,39.12043095,41.21680723,43.17675692,44.5006203,46.14934375,48.87343588,51.52230814,53.04398923,55.96696248,58.62891131,62.06123025,67.34282657,73.52485071,77.84064417,83.22796475,86.18844019,89.96643401,100.000004,101.1508628,104.2946339,109.809075,118.1853333,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bolivia,BOL,232.2771331,236.620933,243.2954355,258.6960178,279.308165,295.9012978,336.3323029,361.1312738,398.6209677,388.9747615,423.1170528,484.9021037,519.331489,550.4674286,561.7492461,535.7930477,528.5337453,560.5702896,577.7028074,573.699308,563.0607044,585.3360597,615.3313981,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bosnia and Herzegovina,BIH,62.77747022,65.7444073,69.03679937,70.01081298,71.52442686,75.95108491,81.87536627,86.9496489,93.32771109,93.50080276,94.81569891,97.12211724,97.89498917,97.67558496,98.65267019,100,101.333306,103.1357286,106.0148913,108.6350543,108.7025629,113.9858703,127.4024847,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Botswana,BWA,30.67977878,33.2301351,33.62469998,34.72055732,38.21996892,44.13325036,46.40805389,49.20608719,53.81804101,61.94937317,66.70898158,75.14988354,77.413279,78.59934411,86.14802685,89.36162166,100.0000433,97.35012288,97.40580419,97.90022187,102.1872665,110.7197994,126.8451869,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Brazil,BRA,44.29774957,47.94128126,52.6386218,60.05594133,64.71151439,69.52037247,74.22987307,79.00956287,85.945459,92.23106532,100,108.3185922,116.9224755,125.6969981,135.5600767,145.8167894,157.6332051,163.4205262,170.7638836,177.9773921,189.4969781,211.06943,228.5527457,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Brunei Darussalam,BRN,63.38419156,59.83981219,60.06373846,63.73039609,73.85471175,87.71452266,96.52783359,97.60937747,109.9986722,85.69840738,100,120.1805054,121.6451485,118.2131481,116.0303929,95.59418819,86.8302453,91.13154673,99.53010535,96.21158912,85.75939334,99.02287996,123.0227849,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bulgaria,BGR,52.47607529,55.68642135,57.82944659,59.09557041,62.3940236,66.50844686,71.00207297,78.84881858,85.23829808,88.59499873,89.2719797,94.72902398,95.78258024,95.85149726,97.13665817,100,103.3235597,108.2966472,112.8825829,118.7967911,123.8576599,132.6942744,154.1668034,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Burkina Faso,BFA,69.81106991,72.57667239,74.79533117,75.905839,75.97464657,78.81563141,78.29322027,80.2445607,87.59480232,89.70189956,93.09228936,99.36485229,105.1518608,102.9129977,102.2745389,100,102.6042992,104.0574811,105.175024,106.1180873,113.0776676,112.8949963,119.5425467,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Burundi,BDI,57.82556042,65.75714952,66.43304002,74.36896399,84.14562649,100,102.8456663,111.3544746,138.3198445,152.7864356,165.8673306,179.7408891,205.4331807,221.7714952,233.5379279,283.3252879,286.0825429,318.8366556,309.7470711,312.3857056,331.024206,359.2166098,425.0672012,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Cabo Verde,CPV,70.31284381,73.93770645,73.66915815,77.29449089,72.39978093,71.10028945,74.39918,88.21392984,91.48908696,93.27729446,93.88771544,96.46684938,97.12051595,98.5042504,98.40543096,100,101.6799248,102.9986256,104.7538985,105.4818032,105.8680358,105.8776963,114.0751986,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Cambodia,KHM,100,102.646541,103.3785558,105.2368035,110.3131512,117.0165271,122.4356905,130.4160898,146.3969991,150.0633431,154.7462091,159.9519741,162.2561113,163.5239604,167.8282313,170.8258322,176.7624648,182.6681733,188.3524805,194.4463835,193.1399828,195.6352451,203.5983646,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Cameroon,CMR,73.44769199,75.26137912,77.3495007,78.86007028,78.97007048,80.04180644,81.88250784,82.28431188,86.3495986,89.4612195,90.07688006,92.40901034,94.20385702,97.08033333,99.03573766,99.34254214,100,101.0251412,102.9415796,104.1457612,104.8805846,107.9000249,113.6582306,..
