Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17016.86476,17303.63926,17226.61576,17812.46743,18651.02358,17492.10059,18273.33281,18888.89439,19413.46195,19792.59853,20674.81626,19434.16344,19384.5842,20330.73264,21267.31688,22381.02439,24905.3038,26853.21073,26451.05877,22933.36738,20848.91352,20196.86769,20266.72839,20175.81955,20451.21897,20584.14786,21280.64369,21672.04489,23050.68498,23638.68524,19062.41258,20501.16247,22321.87002,
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30897.96514,30390.13512,30180.31048,31123.06437,32051.4941,32927.3337,33786.99981,34731.30202,35990.38759,37388.5898,38412.64245,38690.56988,39775.27052,40535.66975,41798.71802,42595.42886,43182.38536,44001.42929,44675.14039,44592.14598,44881.32607,45328.25971,46289.1853,46685.09735,47193.17163,47543.08014,48107.06746,48418.55842,49085.93337,49420.94042,48651.73497,49609.2311,51090.26333,
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37494.56041,38399.67402,38774.49026,38658.64978,39435.21002,40425.39372,41319.375,42136.66228,43597.89007,45060.61875,46469.86106,46878.91624,47419.27841,47633.114,48633.27182,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55217.28653,55769.6841,51854.74935,53817.30626,55867.18381,
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7616.910275,7463.62886,5690.180918,4309.921462,3414.511205,2976.995221,2985.337175,3128.164135,3408.475381,3628.716883,3998.520483,4360.459441,4736.564376,5180.686458,5610.763137,7106.597907,9453.94186,11684.19154,12672.37622,13565.85509,14082.23815,13913.83669,14027.46879,14651.69397,14867.94373,14852.61171,14232.19262,14121.40694,14209.59317,14442.04087,13726.76966,14433.90421,15094.2841,
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.155086,1209.388158,1190.067435,1153.541309,1103.167298,956.4909761,880.3094121,867.284265,891.6998437,862.0066804,837.3484115,833.6708787,846.7472952,810.5523352,818.7460633,796.1087131,809.6960107,807.4474806,812.5921698,801.8034274,804.3549408,807.6649576,814.3207708,824.6105226,831.2948386,781.5792873,764.3366022,750.7876163,740.4482225,729.6584626,711.3552634,714.0667124,708.1783134,
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35506.92651,36023.68428,36426.99315,35935.95739,36981.44895,37784.14989,38208.71867,39562.37298,40252.46891,41583.09739,43024.13991,43347.88921,43890.59811,44160.91143,45540.46691,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51113.48174,51977.17368,49030.99129,52174.90682,53287.15361,
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.559205,2132.396685,2129.201083,2155.366484,2118.278564,2200.593649,2237.526186,2297.994162,2317.481153,2367.761079,2431.445503,2485.116378,2523.609818,2532.998273,2566.3455,2528.676326,2549.194262,2625.212594,2673.769185,2656.431479,2634.134567,2633.938898,2681.351497,2792.027128,2883.898921,2849.820324,2859.39151,2933.837384,3040.167354,3156.438763,3186.486099,3321.551971,3435.171617,
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.8447619,1044.17392,1021.144516,1030.559204,1018.122209,1049.083717,1135.25666,1176.383903,1228.122869,1280.92272,1266.744817,1310.072212,1325.70343,1385.455048,1402.784372,1477.039822,1521.154454,1536.385814,1578.345826,1578.148939,1661.872021,1720.082522,1776.390997,1823.594952,1846.645127,1862.854712,1916.756382,1978.155012,2051.218431,2106.036177,2089.567804,2176.093355,2158.858516,
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.368941,1756.332621,1818.150761,1867.780934,1903.580828,1964.061122,2017.213522,2070.437442,2137.150039,2194.526472,2267.075343,2337.364578,2382.281466,2451.990227,2537.950709,2663.096251,2806.592685,2973.281318,3124.22679,3253.09133,3395.36478,3571.058639,3756.931924,3932.708322,4119.424631,4337.385893,4589.093522,4830.776291,5124.498743,5467.207509,5591.373766,5911.012983,6263.004635,
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12508.2356,11565.85652,10840.53114,10765.59992,10998.60613,11363.89038,12017.24249,10383.98836,10849.60899,9994.543216,10504.77036,11125.72413,12037.50113,12768.66645,13703.00146,14780.81136,15906.64357,17090.33464,18265.65864,17768.3915,18163.92987,18662.87682,18911.85191,18914.7679,19203.19317,19982.72978,20732.4376,21457.90199,22195.86714,23254.6282,22466.76426,24386.01231,26961.10608,
